id,title,author,issue,volume,venue,page,pub_date,type,publisher,editor,omid,doi,pmid,other_id,pub_year,pub_month,pub_day
omid:br/06480149115 doi:10.3389/fmars.2023.1116741,eDNA Metabarcoding Vs Metagenomics: An Assessment Of Dietary Competition In Two Estuarine Pipefishes,"Bodill, Taryn, Cowley, Paul D., Emami-Khoyi, Arsalan, James, Nicola C., Jansen Van Vuuren, Bettine, Ntshudisane, Ofentse K., Serite, Conny P., Teske, Peter R., Whitfield, Alan K.",,10.0,Frontiers In Marine Science,,2023-06-12,journal article,Frontiers Media Sa,,omid:br/06480149115,doi:10.3389/fmars.2023.1116741,,,2023.0,6.0,12.0
omid:br/06480149733 doi:10.3389/fmars.2023.979912,"A New Species Of Caulophacus (Hexactinellida: Lyssacinosida: Rossellidae) From The Western Pacific Ocean, With New Insights Into The Mitochondrial Genome Characteristics Of Hexactinellid Sponges","Dohrmann, Martin, Gong, Lin, Janussen, Dorte, Li, Xinzheng, Yang, Mei",,10.0,Frontiers In Marine Science,,2023-02-09,journal article,Frontiers Media Sa,,omid:br/06480149733,doi:10.3389/fmars.2023.979912,,,2023.0,2.0,9.0
omid:br/06480149103 doi:10.3389/fmars.2023.1040979,Genomic Selection In Algae With Biphasic Lifecycles: A Saccharina Latissima (Sugar Kelp) Case Study,"Aydlett, Margaret, Bailey, David, Grimwood, Jane, Huang, Mao, Jannink, Jean-Luc, Li, Yaoguang, Lindell, Scott, Marty-Rivera, Michael, Robbins, Kelly R., Schmutz, Jeremy, Umanzor, Schery, Yarish, Charles",,10.0,Frontiers In Marine Science,,2023-02-22,journal article,Frontiers Media Sa,,omid:br/06480149103,doi:10.3389/fmars.2023.1040979,,,2023.0,2.0,22.0
omid:br/06480149046 doi:10.3389/fmars.2022.1076885,"Characterization And Genomic Analysis Of A Novel Pseudomonas Phage vB_PsaP_M1, Representing A New Viral Family, Psaeviridae","Liang, Yantao, Liu, Baohong, Liu, Yundan, McMinn, Andrew, Mok, Wen Jye, Ren, Linyi, Shao, Hongbing, Sung, Yeong Yik, Wang, Hongmin, Wang, Min, Wang, Ziyue, Wong, Li Lian, Zheng, Kaiyang",,9.0,Frontiers In Marine Science,,2022-12-23,journal article,Frontiers Media Sa,,omid:br/06480149046,doi:10.3389/fmars.2022.1076885,,,2022.0,12.0,23.0
omid:br/06480149323 doi:10.3389/fmars.2023.1118431,Impact Of Local Iron Enrichment On The Small Benthic Biota In The Deep Arctic Ocean,"Hasemann, Christiane, Rapp, Josephine Z., Soltwedel, Thomas",,10.0,Frontiers In Marine Science,,2023-02-22,journal article,Frontiers Media Sa,,omid:br/06480149323,doi:10.3389/fmars.2023.1118431,,,2023.0,2.0,22.0
omid:br/06480149108 doi:10.3389/fmars.2023.1139368,Local Ecological Knowledge Provides Important Conservation Guidelines For A Threatened Seahorse Species In Mangrove Ecosystems,"Freret-Meurer, Natalie V., Giarrizzo, Tommaso, Nascimento, Rodolfo Leandro, Ternes, Maria Laura Fontelles, Vidal, Marcelo Derzi",,10.0,Frontiers In Marine Science,,2023-06-12,journal article,Frontiers Media Sa,,omid:br/06480149108,doi:10.3389/fmars.2023.1139368,,,2023.0,6.0,12.0
omid:br/061203893399 doi:10.3390/computers12060113,Prototype Of A Recommendation Model With Artificial Intelligence For Computational Thinking Improvement Of Secondary Education Students,"Connolly, Cornelia, Hijn-Neira, Raquel, Pizarro, Celeste, Prez-Marn, Diana",6.0,12.0,Computers,113-113,2023-05-26,journal article,Mdpi Ag,,omid:br/061203893399,doi:10.3390/computers12060113,,,2023.0,5.0,26.0
omid:br/06304298260 doi:10.4049/jimmunol.157.4.1406,Dendritic Cells Can Present Antigen In Vivo In A Tolerogenic Or Immunogenic Fashion,"Lees, Andrew, Birnbaum R., Finkelman F. D., Gause W. C., Morris S. C.",,,,,1996-08-15,journal article,,,omid:br/06304298260,doi:10.4049/jimmunol.157.4.1406,,,1996.0,8.0,15.0
omid:br/06250472480 doi:10.1211/0022357023565 pmid:15231041,Protection Against Doxorubicin Cardiomyopathy In Rats: Role Of Phosphodiesterase Inhibitors Type 4,"Mohamed, Hoda E, Asker, Mervat E, Ali, Sousou I, Abd El Fattah, Tamer M",6,56,Journal Of Pharmacy And Pharmacology,757-768,2004-06,journal article,Oxford University Press (Oup),,omid:br/06250472480,doi:10.1211/0022357023565,pmid:15231041,,2004.0,6.0,1.0
omid:br/06502797248 doi:10.1063/1.4875330,ZAPP: The Z Astrophysical Plasma Properties Collaboration,"Rochau, G. A., Bailey, J. E., Falcon, R. E., Loisel, G. P., Nagayama, T., Mancini, R. C., Hall, I., Winget, D. E., Montgomery, M. H., Liedahl, D. A.",5,21,Physics Of Plasmas,056308-056308,2014-05,journal article,Aip Publishing,,omid:br/06502797248,doi:10.1063/1.4875330,,,2014.0,5.0,1.0
omid:br/06204351058 doi:10.1016/j.clinbiomech.2023.105902,Physical Clinical Care And Artificial-Intelligence-Guided Core Resistance Training Improve Endurance And Patient-Reported Outcomes In Subjects With Lower Back Pain,"Bates, Nathaniel A., Breuer, Logan, Goodyear, Evelyn, Holmes, Benjamin D., Huffman, Allison, Nagai, Takashi, Rigamonti, Luca, Schilaty, Nathan D.",,103.0,Clinical Biomechanics,105902-105902,2023-03,journal article,Elsevier Bv,,omid:br/06204351058,doi:10.1016/j.clinbiomech.2023.105902,,,2023.0,3.0,1.0
omid:br/06204354428 doi:10.1111/nmo.14592,The Patient With Obstructed Defecatory Symptoms: Management Differs Considerably Between Physicians And Surgeons,"Ejova, Anastasia, Jones, Michael, Malcolm, Allison, Mazor, Yoav, Schnitzler, Margaret",8,35.0,Neurogastroenterology & Motility,,2023-04-10,journal article,Wiley,,omid:br/06204354428,doi:10.1111/nmo.14592,,,2023.0,4.0,10.0
omid:br/06204354100 doi:10.1021/acs.jpcc.3c03225,In Situ Neutron Diffraction Of Zn-MOF-74 Reveals Nanoconfinement-Induced Effects On Adsorbed Propene,"Ferri, Davide, Gumann, Patrick, Ranocchiari, Marco, Rzepka, Przemyslaw, Sheptyakov, Denis, Van Bokhoven, Jeroen A.",33,127.0,The Journal Of Physical Chemistry C,16636-16644,2023-08-16,journal article,American Chemical Society (Acs),,omid:br/06204354100,doi:10.1021/acs.jpcc.3c03225,,,2023.0,8.0,16.0
omid:br/06601319509 doi:10.1111/j.2041-1014.2009.00560.x pmid:20502628,Oral Immunization With Porphyromonas Gingivalis Outer Membrane Protein And CpG Oligodeoxynucleotides Elicits T Helper 1 And 2 Cytokines For Enhanced Protective Immunity,"Liu, C., Hashizume, T., Kurita-Ochiai, T., Fujihashi, K., Yamamoto, M.",3,25.0,Molecular Oral Microbiology,178-189,2010-06,journal article,Wiley,,omid:br/06601319509,doi:10.1111/j.2041-1014.2009.00560.x,pmid:20502628,,2010.0,6.0,1.0
omid:br/06104307506 doi:10.1109/tkde.2022.3197612,Modeling And Detecting Communities In Node Attributed Networks,"Adrian N. Bishop, Shao, Jinliang, Ren Ren, Wei Xing Zheng",,,,,2022,journal article,Institute Of Electrical And Electronics Engineers (Ieee),,omid:br/06104307506,doi:10.1109/tkde.2022.3197612,,,2022.0,1.0,1.0
omid:br/062201766663 doi:10.1080/23311975.2022.2054502,The Impact Of Covid-19 Lockdown On Intention To Follow Preventive Measures In Vietnam: Integrated Protection Motivation Theory And Theory Planed Behavior,"Nguyen, Duc Trung, Tran, Van Dat, Ghafoor, Abdul",1,9.0,Cogent Business & Management,,2022-03-24,journal article,Informa Uk Limited,"Akram, Umair [omid:ra/062205330978]",omid:br/062201766663,doi:10.1080/23311975.2022.2054502,,,2022.0,3.0,24.0
omid:br/061803896276 doi:10.1177/15330338221143224,Machine Learning Radiomics Model For External And Internal Respiratory Motion Correlation Prediction In Lung Tumor,"Bai, Sen, Dai, Guyu, Duan, Lian, Li, Guangjun, Li, Jing, Song, Xinyu, Song, Ying, Wang, Guangyu, Zhang, Xiangyu",,21.0,Technology In Cancer Research & Treatment,153303382211432-153303382211432,2022-01,journal article,Sage Publications,,omid:br/061803896276,doi:10.1177/15330338221143224,,,2022.0,1.0,1.0
omid:br/061803893634 doi:10.1016/j.gie.2022.11.002,Impact Of Second-Generation Transoral Incisionless Fundoplication On Atypical GERD Symptoms: A Systematic Review And Meta-Analysis,"Bain, Paul A., Bay, Camden, Brown, Jeremy R. Glissen, Haseeb, Muhammad, Hayat, Umar, Jirapinyo, Pichamol, Thompson, Christopher C.",3,97.0,Gastrointestinal Endoscopy,394-2,2023-03,journal article,Elsevier Bv,,omid:br/061803893634,doi:10.1016/j.gie.2022.11.002,,,2023.0,3.0,1.0
omid:br/061803893095 doi:10.1088/1361-6579/acba7b,Screening Left Ventricular Systolic Dysfunction In Children Using Intrinsic Frequencies Of Carotid Pressure Waveforms Measured By A Novel Smartphone-Based Device,"Bravo, Stephen, Cheng, Andrew L., Liu, Jing, Miller, Jennifer C, Pahlevan, Niema M",3,44.0,Physiological Measurement,035001-035001,2023-03-01,journal article,Iop Publishing,,omid:br/061803893095,doi:10.1088/1361-6579/acba7b,,,2023.0,3.0,1.0
omid:br/061803893398 doi:10.55482/jcim.2022.33288,The Effect Of Board Gender Diversity And Environmental Responsibility On Innovation: Evidence From The Top-Patenting Firms,"Ruth, Derek, Sui, Sui",2,25.0,Journal Of Comparative International Management,178-193,2022-12-28,journal article,Journal Of Comparative International Management,,omid:br/061803893398,doi:10.55482/jcim.2022.33288,,,2022.0,12.0,28.0
omid:br/061803894655 doi:10.1093/nsr/nwad173,Inhibition Of Wnt Activity Improves Peri-Implantation Development Of Somatic Cell Nuclear Transfer Embryos,"Bai, Dandan, Gao, Shaorong, Gao, Shuai, Han, Xiaoxiao, He, Jincan, Jia, Yanping, Kou, Xiaochen, Li, Yanhe, Liu, Kuisheng, Liu, Wenqiang, Liu, Yingdong, Sheng, Yifan, Wang, Hong, Yin, Jiqing, Zhang, Qiang, Zhang, Yalin, Zhao, Yanhong, Zheng, Caihong",9,10.0,National Science Review,,2023-08-09,journal article,Oxford University Press (Oup),,omid:br/061803894655,doi:10.1093/nsr/nwad173,,,2023.0,8.0,9.0
omid:br/061803894618 doi:10.1093/nsr/nwad090,Leveraging The Metacoupling Framework For Sustainability Science And Global Sustainable Development,"Liu, Jianguo",7,10.0,National Science Review,,2023-03-31,journal article,Oxford University Press (Oup),,omid:br/061803894618,doi:10.1093/nsr/nwad090,,,2023.0,3.0,31.0
omid:br/061802827094 doi:10.1016/j.fcr.2008.10.008,Biochar Amendment Techniques For Upland Rice Production In Northern Laos,"Asai, Hidetoshi, Samson, Benjamin K., Stephan, Haefele M., Songyikhangsuthor, Khamdok, Homma, Koki, Kiyono, Yoshiyuki, Inoue, Yoshio, Shiraiwa, Tatsuhiko, Horie, Takeshi",1-2,111,Field Crops Research,81-84,2009-03,journal article,Elsevier Bv,,omid:br/061802827094,doi:10.1016/j.fcr.2008.10.008,,,2009.0,3.0,1.0
omid:br/06501540610 doi:10.1371/journal.pone.0115425 pmid:25517508,Effective Use Of The Built Environment To Manage Behavioural And Psychological Symptoms Of Dementia: A Systematic Review,"Soril, Lesley J. J., Leggett, Laura E., Lorenzetti, Diane, Silvius, James, Robertson, Duncan, Mansell, Lynne, Holroyd-Leduc, Jayna, Noseworthy, Tom W., Clement, Fiona M.",12,9,Plos One,e115425-e115425,2014-12-17,journal article,Public Library Of Science (PLoS),"Laks, Jerson [omid:ra/06504581333]",omid:br/06501540610,doi:10.1371/journal.pone.0115425,pmid:25517508,,2014.0,12.0,17.0
omid:br/06170679114 doi:10.1016/j.fuel.2012.01.022,Effect Of Low Ambient Temperature On Fuel Consumption And Pollutant And CO2 Emissions Of Hybrid Electric Vehicles In Real-World Conditions,"Alvarez, Robert, Weilenmann, Martin",,97.0,Fuel,119-124,2012-07,journal article,Elsevier Bv,,omid:br/06170679114,doi:10.1016/j.fuel.2012.01.022,,,2012.0,7.0,1.0
omid:br/06701657057 doi:10.3389/fpubh.2018.00363 pmid:30619804,Advances In Clinical Sample Preparation For Identification And Characterization Of Bacterial Pathogens Using Metagenomics,"Bachmann, Nathan L., Rockett, Rebecca J., Timms, Verlaine, Sintchenko, Vitali",,6.0,Frontiers In Public Health,,2018-12-12,journal article,Frontiers Media Sa,,omid:br/06701657057,doi:10.3389/fpubh.2018.00363,pmid:30619804,,2018.0,12.0,12.0
omid:br/06160844709 pmid:15677501 doi:10.2337/diabetes.54.2.434,Autoimmune Diabetes Is Suppressed By Transfer Of Proinsulin-Encoding Gr-1+ Myeloid Progenitor Cells That Differentiate In Vivo Into Resting Dendritic Cells,"Steptoe, Raymond J, Ritchie, Janine M., Jones, Lynelle K., Harrison, Leonard C.",2,54,Diabetes,434-442,2005-02-01,journal article,American Diabetes Association,,omid:br/06160844709,doi:10.2337/diabetes.54.2.434,pmid:15677501,,2005.0,2.0,1.0
omid:br/06403098502 doi:10.1002/aic.690380804,Modeling Of The Sulfidation Of Zinc-Titanium Oxide Sorbents With Hydrogen Sulfide,"Lew, Susan, Sarofim, Adel F., Flytzani-Stephanopoulos, Maria",8,38.0,AIChE Journal,1161-1169,1992-08,journal article,Wiley,,omid:br/06403098502,doi:10.1002/aic.690380804,,,1992.0,8.0,1.0
omid:br/06604393118 doi:10.1002/imt2.71,A Guide For Comparing Microbial CoOccurrence Networks,"Jiang, Yanqiong, Li, Chaonan, Li, Xiangzhen, Liu, Chi, Yao, Minjie, Zeng, Raymond J.",1,2.0,iMeta,,2023-01-10,journal article,Wiley,,omid:br/06604393118,doi:10.1002/imt2.71,,,2023.0,1.0,10.0
omid:br/06604393177 doi:10.3389/fmmed.2023.1075805,The Fault In Our Astrocytes - Cause Or Casualties Of Proteinopathies Of ALS/FTD And Other Neurodegenerative Diseases?,"Bustos, Lynette M., Sattler, Rita",,3.0,Frontiers In Molecular Medicine,,2023-02-16,journal article,Frontiers Media Sa,,omid:br/06604393177,doi:10.3389/fmmed.2023.1075805,,,2023.0,2.0,16.0
omid:br/06604393179 doi:10.3389/fmmed.2023.1152550,Whole Genome Sequencing For Metastatic Mutational Burden In Extraskeletal Myxoid Chondrosarcoma,"Budak, Gungor, Chandran, Uma, John, Ivy, Sethi, Rahil, Wang, Jiefei, Watters, Rebecca, Weiss, Kurt, Zou, Trudy",,3.0,Frontiers In Molecular Medicine,,2023-07-24,journal article,Frontiers Media Sa,,omid:br/06604393179,doi:10.3389/fmmed.2023.1152550,,,2023.0,7.0,24.0
omid:br/062103888684 doi:10.1016/j.jag.2023.103204,Potential And Limitations Of Crowdsourced Data For High-Resolution Rice Mapping In Madagascar: The Importance Of Representation,"Bonte, Kasper, Campforts, Benjamin, De Vos, Koen, Govers, Gerard, Jacobs, Liesbet, Tits, Laurent, Van Tricht, Kristof",,117.0,International Journal Of Applied Earth Observation And Geoinformation,103204-103204,2023-03,journal article,Elsevier Bv,,omid:br/062103888684,doi:10.1016/j.jag.2023.103204,,,2023.0,3.0,1.0
omid:br/062103882368 doi:10.1016/j.heliyon.2023.e14031,"Nutritional Composition, Heavy Metal Contents And Lipid Quality Of Five Marine Fish Species From Cameroon Coast","Bakana, G.M.B., Diazenza, J.B., Francois, A., Gouado, I., Mamonekene, V., Manz, J.C.K., Ndomou, M., Nsoga, J.V.F., Sita, S.",3,9.0,Heliyon,e14031-e14031,2023-03,journal article,Elsevier Bv,,omid:br/062103882368,doi:10.1016/j.heliyon.2023.e14031,,,2023.0,3.0,1.0
omid:br/062103884288 doi:10.1177/08901171231204480,Parents Trust In COVID-19 Messengers And Implications For Vaccination,"Berry, Andrea A, Calderon, Gabriela, Connor, Katherine A., Edwards, Lorece V., Habib, Daniel R. S., Hager, Erin R., Johnson, Sara B., Klein, Lauren M., Liu, Yisi",,,American Journal Of Health Promotion,,2023-09-27,journal article,Sage Publications,,omid:br/062103884288,doi:10.1177/08901171231204480,,,2023.0,9.0,27.0
omid:br/062103884367 doi:10.1177/08901171231189540,Electronic Monitoring Of Moms Schedule (eMOMSTM): A Qualitative Study Of Experiences In A Lifestyle Change Program With Lactation Support,"Bakhache, Nathalie, Befort, Christie, Dowling, Jolynn, Grainger, David A., Jacobson, Lisette T., Okut, Hayrettin, Robbins, David C., Stern, Judy E., Zackula, Rosey",7,37.0,American Journal Of Health Promotion,953-963,2023-07-18,journal article,Sage Publications,,omid:br/062103884367,doi:10.1177/08901171231189540,,,2023.0,7.0,18.0
omid:br/062103884761 doi:10.1021/acs.orglett.3c02235,Defluorinative Thiolation Of gem-Difluoroalkenes By Convergent Paired Electrolysis,"Deng, Hong-Ping, Ma, Mengtao, Pan, Zichen, Wang, Xiuqi, Xue, Fei, Zhao, Shuaishuai",33,25.0,Organic Letters,6143-6148,2023-08-16,journal article,American Chemical Society (Acs),,omid:br/062103884761,doi:10.1021/acs.orglett.3c02235,,,2023.0,8.0,16.0
omid:br/06303100828 doi:10.1021/acsami.2c05251 pmid:35727886,SolidLiquid State Transformable Magnetorheological Millirobot,"Chen, Zhipeng, Lu, Weibin, Li, Yuanyuan, Liu, Pengfei, Yang, Yawen, Jiang, Lelun",26.0,14.0,ACS Applied Materials & Interfaces,30007-30020,2022-06-21,journal article,American Chemical Society (Acs),,omid:br/06303100828,doi:10.1021/acsami.2c05251,pmid:35727886,,2022.0,6.0,21.0
omid:br/06120106493 doi:10.1016/j.chb.2021.107158,Examining Online Social Behavior Changes After Migration: An Empirical Study Based On OSN Big Data,"Ran, Xiaobin, Xu, Yuquan, Liu, Yuewen, Jiang, Jinhu",,129.0,Computers In Human Behavior,107158-107158,2022-04,journal article,Elsevier Bv,,omid:br/06120106493,doi:10.1016/j.chb.2021.107158,,,2022.0,4.0,1.0
omid:br/06120106480 doi:10.1016/j.chb.2021.107027,Predicting Continuance Intention To Fintech Chatbot,"Huang, Stanley Y.B., Lee, Chih-Jen",,129.0,Computers In Human Behavior,107027-107027,2022-04,journal article,Elsevier Bv,,omid:br/06120106480,doi:10.1016/j.chb.2021.107027,,,2022.0,4.0,1.0
omid:br/06120106619 doi:10.1016/j.chb.2021.107011,Exploring The Effects Of Social Capital On Crowdfunding Performance: A Holistic Analysis From The Empirical And Predictive Views,"Zhang, Xi, Liu, Xiaopei, Wang, Xianhai, Zhao, Hongke, Zhang, Wei",,126.0,Computers In Human Behavior,107011-107011,2022-01,journal article,Elsevier Bv,,omid:br/06120106619,doi:10.1016/j.chb.2021.107011,,,2022.0,1.0,1.0
omid:br/06120106922 doi:10.1016/j.chb.2020.106615,So Little Time For So Many Ties: Fit Between The Social Capital Embedded In Enterprise Social Media And Individual Learning Requirements,"Shang, Rong-An, Sun, Yuan",,120.0,Computers In Human Behavior,106615-106615,2021-07,journal article,Elsevier Bv,,omid:br/06120106922,doi:10.1016/j.chb.2020.106615,,,2021.0,7.0,1.0
omid:br/062601191452 doi:10.1017/jfm.2018.767,Gyrotactic Swimmers In Turbulence: Shape Effects And Role Of The Large-Scale Flow,"Borgnino, M., Boffetta, G., De Lillo, Filippo, Cencini, Massimo",,856.0,Journal Of Fluid Mechanics,,2018-10-09,journal article,Cambridge University Press (Cup),,omid:br/062601191452,doi:10.1017/jfm.2018.767,,,2018.0,10.0,9.0
omid:br/061102651145 doi:10.29050/harranziraat.822395,"Msr Bitkisinde Sulamay Sonlandrma Zamannn Tane Verimi, Hasatta Tane Nemi Ve Baz Tarmsal zellikler zerine Etkileri","Gnlal, Erdal, Soylu, Sleyman, ahiN, Mehmet",,,Harran Tarm Ve Gda Bilimleri Dergisi,,2020-12-30,journal article,Harran Tarim Ve Gida Dergisi,,omid:br/061102651145,doi:10.29050/harranziraat.822395,,,2020.0,12.0,30.0
omid:br/06604333706 doi:10.2903/j.efsa.2023.7896,Welfare Of Calves,"Alvarez, Julio, Bicout, Dominique Joseph, Calistri, Paolo, Canali, Elisabetta, Candiani, Denise, Drewe, Julian Ashley, Efsa Panel On Animal Health And Animal Welfare Ahaw, Garin-Bastuji, Bruno, Gonzales Rojas, Jose Luis, Gortazar Schmidt, Christian, Herskin, Mette, Jensen, Margit Bak, Lima, Eliana, Michel, Virginie, Miranda Chueca, Miguel Angel, Mosbach-Schulz, Olaf, Nielsen, Sren Saxmose, Padalino, Barbara, Pasquali, Paolo, Roberts, Helen Clare, Spoolder, Hans, Stahl, Karl, Van Der Stede, Yves, Velarde, Antonio, Viltrop, Arvo, Vitali, Marika, Waiblinger, Susanne, Winckler, Christoph",3,21.0,EFSA Journal,,2023-03,journal article,Wiley,,omid:br/06604333706,doi:10.2903/j.efsa.2023.7896,,,2023.0,3.0,1.0
omid:br/06604335836 doi:10.1016/b978-0-12-824315-2.00600-x,Staphylococcus Aureus Toxicity,"Arsene, Andreea-Letiia, Ilie, Marina-Ionela, Marandiuc, Ilinca-Mihaela, Udeanu, Denisa-Ioana, Velescu, Bruno-tefan",,,Reference Module In Biomedical Sciences,,2023,book chapter,Elsevier Bv,,omid:br/06604335836,doi:10.1016/b978-0-12-824315-2.00600-x,,,2023.0,1.0,1.0
omid:br/06604335762 doi:10.1016/b978-0-12-824315-2.01013-7,Ethylene Oxide (EO),"Shelp, Catherine J.",,,Reference Module In Biomedical Sciences,,2023,book chapter,Elsevier Bv,,omid:br/06604335762,doi:10.1016/b978-0-12-824315-2.01013-7,,,2023.0,1.0,1.0
omid:br/06604335919 doi:10.1016/b978-0-12-824010-6.00030-7,Multianalyte Tests In Clinical Care,"Aponte, Juliemar, Ramos, Kenneth S., Silva, Patrick J.",,,Reference Module In Biomedical Sciences,,2023,book chapter,Elsevier Bv,,omid:br/06604335919,doi:10.1016/b978-0-12-824010-6.00030-7,,,2023.0,1.0,1.0
omid:br/06302570684 pmid:31802031 doi:10.1038/s41565-019-0591-y,The Onpattro Story And The Clinical Translation Of Nanomedicines Containing Nucleic Acid-Based Drugs,"Akinc, Akin, Maier, Martin A., Manoharan, Muthiah, Fitzgerald, Kevin, Jayaraman, Muthusamy, Barros, Scott, Ansell, Steven, Du, Xinyao, Hope, Michael J., Madden, Thomas D., Mui, Barbara L., Semple, Sean C., Tam, Ying K., Ciufolini, Marco, Witzigmann, Dominik, Kulkarni, Jayesh A, Van Der Meel, Roy, Cullis, Pieter R.",12,14,Nature Nanotechnology,1084-1087,2019-12,journal article,Springer Science And Business Media Llc,,omid:br/06302570684,doi:10.1038/s41565-019-0591-y,pmid:31802031,,2019.0,12.0,1.0
omid:br/06220102167 doi:10.1002/(sici)1521-3773(19980316)37:5<662::aid-anie662>3.0.co;2-0,Heck Reactions Without Salt Formation: Aromatic Carboxylic Anhydrides As Arylating Agents,"Stephan, Massoud S., Teunissen, Antonius J. J. M., Verzijl, Gerard K. M., De Vries, Johannes G.",5,37,Angewandte Chemie International Edition,662-664,1998-03-16,journal article,Wiley,,omid:br/06220102167,doi:10.1002/(sici)1521-3773(19980316)37:5<662::aid-anie662>3.0.co;2-0,,,1998.0,3.0,16.0
omid:br/06103134514 doi:10.1007/978-1-4419-0350-1_5,Assessment Tools In Pediatric Chronic Pain: Reliability And Validity,"Vetter, Thomas R.",,,Handbook Of Pediatric Chronic Pain,63-85,2011,book chapter,Springer Science And Business Media Llc,,omid:br/06103134514,doi:10.1007/978-1-4419-0350-1_5,,,2011.0,1.0,1.0
omid:br/06230413008 doi:10.1007/s11205-021-02667-x,Who Cares About Environmental Quality In The MENA Region?,"Dibeh, Ghassan, Fakih, Ali, Marrouch, Walid, Matar, Ghida",2,157.0,Social Indicators Research,603-629,2021-03-17,journal article,Springer Science And Business Media Llc,,omid:br/06230413008,doi:10.1007/s11205-021-02667-x,,,2021.0,3.0,17.0
omid:br/06702645078 doi:10.1163/9789401203890_008,From Nostalgia To Postalgia: Hybridity And Its Discontents In The Work Of Paul Gilroy And The Wachowski Brothers,,,,Reconstructing Hybridity,121-135,2007,book chapter,Brill,,omid:br/06702645078,doi:10.1163/9789401203890_008,,,2007.0,1.0,1.0
omid:br/061803956990 doi:10.1038/s42003-023-04616-5,Antimicrobial Protein REG3A Regulates Glucose Homeostasis And Insulin Resistance In Obese Diabetic Mice,"Amouyal, Gilles, Amouyal, Paul, Andrelli, Fabrizio, Brchot, Christian, Cruciani-Guglielmacci, Cline, Darnaud, Marion, Deshayes, Alice, Dos Santos, Alexandre, Faivre, Jamila, Gonzalez, Patrick, Lacoste, Claire, Magnan, Christophe, Moniaux, Nicolas, Moull, Valentine S., Nguyen, Tung-Son, Rapoud, Delphine",1,6.0,Communications Biology,,2023-03-15,journal article,Springer Science And Business Media Llc,,omid:br/061803956990,doi:10.1038/s42003-023-04616-5,,,2023.0,3.0,15.0
omid:br/061803956992 doi:10.1038/s42003-023-04606-7,Protein Fibril Length In Cerebrospinal Fluid Is Increased In Alzheimers Disease,"Felbecker, Ansgar, Lder, Lars, Nirmalraj, Peter Niraj, Schneider, Thomas",1,6.0,Communications Biology,,2023-03-08,journal article,Springer Science And Business Media Llc,,omid:br/061803956992,doi:10.1038/s42003-023-04606-7,,,2023.0,3.0,8.0
omid:br/061803956997 doi:10.1038/s42003-023-04681-w,Genome-wide Analysis Of A Collective Grave From Mentesh Tepe Provides Insight Into The Population Structure Of Early Neolithic Population In The South Caucasus,"Bon, Cline, Chimnes, Amlie, Guarino-Vignon, Perle, Guliyev, Farhad, Jovenet, Elsa, Lefeuvre, Mal, Lyonnet, Bertille, Monnereau, Aurore, Pecqueur, Laure",1,6.0,Communications Biology,,2023-03-25,journal article,Springer Science And Business Media Llc,,omid:br/061803956997,doi:10.1038/s42003-023-04681-w,,,2023.0,3.0,25.0
omid:br/061803956991 doi:10.1038/s42003-023-04654-z,In Vivo Characterization Of The Bacterial Intramembrane-Cleaving Protease RseP Using The Heme Binding Tag-Based Assay iCliPSpy,"Beck, Rainer, Brgger, Britta, Gtz, Rabea M., Hopf, Carsten, Kupke, Thomas, Lolicato, Fabio, Nickel, Walter, Richter, Florian M.",1,6.0,Communications Biology,,2023-03-18,journal article,Springer Science And Business Media Llc,,omid:br/061803956991,doi:10.1038/s42003-023-04654-z,,,2023.0,3.0,18.0
omid:br/06380161501 doi:10.1016/j.jare.2023.04.012,Two Mutations At KRT74 And EDAR Synergistically Drive The Fine-Wool Production In Chinese Sheep,"Bai, Tianyou, Han, Jiangang, He, Xiaohong, Jiang, Lin, Liang, Benmeng, Liu, Jianfeng, Liu, Nan, Liu, Wujun, Ma, Qing, Ma, Yuehui, Pu, Yabin, Tian, Kechuan, Wang, Chunxin, Zhao, Yuhetian, Zheng, Wenxin",,,Journal Of Advanced Research,,2023-05,journal article,Elsevier Bv,,omid:br/06380161501,doi:10.1016/j.jare.2023.04.012,,,2023.0,5.0,1.0
omid:br/06380161496 doi:10.1016/j.jare.2023.03.005,Silver Nitroprusside As An Efficient Chemodynamic Therapeutic Agent And A Peroxynitrite Nanogenerator For Targeted Cancer Therapies,"Adeel, Muhammad, Asif, Kanwal, Bartoletti, Michele, Caligiuri, Isabella, Canzonieri, Vincenzo, Rahman, Md. Mahbubur, Rizzolio, Flavio, Sfriso, Andrea Augusto",,,Journal Of Advanced Research,,2023-03,journal article,Elsevier Bv,,omid:br/06380161496,doi:10.1016/j.jare.2023.03.005,,,2023.0,3.0,1.0
